rsids	fin_enrichment	phenotype	category	beta	sebeta	mlogp	pval	num_cases
rs376160391	8.7e+0	Other viral diseases	I Certain infectious and parasitic diseases (AB1_)	0.466103	0.0872177	7.04166	9.08532E-08	9805
rs1462150023	No data in gnomAD	"Varus deformity, not elsewhere classified"	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3.55291	0.679741	6.76344	1.72409E-07	298
rs1230761022	No data in gnomAD	"Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium"	"XV Pregnancy, childbirth and the puerperium (O15_)"	-8.22263	1.61032	6.4832	3.287E-07	12297
rs944820792	No data in gnomAD	Congenital iodine-deficiency syndrome/hypothyroidism	"IV Endocrine, nutritional and metabolic diseases (E4_)"	5.12894	1.01687	6.34075	4.563E-07	877
rs143640855	1.9e-1	Dental pulpitis 3	XI Diseases of the digestive system (K11_)	0.771204	0.154323	6.23565	5.81233E-07	4261
rs10477554	9.2e-1	Hypertension	IX Diseases of the circulatory system (I9_)	-0.031937	0.00641464	6.19388	6.39912E-07	111581
rs6594968	1.0e+0	Asthma/COPD (KELA code 203)	X Diseases of the respiratory system (J10_)	-0.0621895	0.0125735	6.12076	7.57251E-07	41495
rs376160391	8.7e+0	"Other viral diseases, not elsewhere classified"	I Certain infectious and parasitic diseases (AB1_)	0.5268	0.109397	5.83316	1.46839E-06	5864
rs1677415	1.1e+0	"Weight, inverse-rank normalized"	Quantitative endpoints	-0.0122146	0.00253998	5.8189	1.5174E-06	271973
rs7701723	1.1e+0	"Sleep apnoea, including avohilmo"	VI Diseases of the nervous system (G6_)	-0.0378038	0.00788714	5.78456	1.64225E-06	41704
rs10039004	8.7e-1	Malignant neoplasm of testis (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	0.5682	0.119001	5.74486	1.79945E-06	407
rs10155646	6.4e-1	Acute upper respiratory infections	X Diseases of the respiratory system (J10_)	-0.0539035	0.0113075	5.72832	1.8693E-06	69111
rs154602	1.0e+0	"Asthma, unspecified (mode)"	Asthma and related endpoints	0.0635082	0.0133604	5.69908	1.99949E-06	21392
rs1289017334	No data in gnomAD	Tarsal tunnel syndrome	VI Diseases of the nervous system (G6_)	5.60272	1.17988	5.68851	2.04875E-06	251
rs10477554	9.2e-1	"Hypertension, essential"	IX Diseases of the circulatory system (I9_)	-0.0322315	0.00683751	5.61441	2.42991E-06	92462
rs6594968	1.0e+0	Asthma (more control exclusions)	X Diseases of the respiratory system (J10_)	-0.0606979	0.0128771	5.61376	2.43355E-06	42163
rs1197625520	No data in gnomAD	"Migraine with aura, drug-induced"	VI Diseases of the nervous system (G6_)	4.32127	0.917204	5.60892	2.46082E-06	307
rs536807712	No NFEE in gnomAD	Sequelae of infectious and parasitic diseases	I Certain infectious and parasitic diseases (AB1_)	1.56884	0.33378	5.58523	2.59878E-06	2393
rs1016555235	No NFEE in gnomAD	Lichen simplex chronicus	XII Diseases of the skin and subcutaneous tissue (L12_)	1.87557	0.403176	5.48315	3.28738E-06	901
rs10155646	6.4e-1	Acute upper respiratory infections of multiple and unspecified sites	X Diseases of the respiratory system (J10_)	-0.068498	0.0148329	5.41172	3.87507E-06	36445
rs11740302	9.2e-1	Venous thromboembolism	IX Diseases of the circulatory system (I9_)	-0.0560663	0.0121765	5.3835	4.13523E-06	19372
rs142022079	1.1e+0	Other bacterial agents as the cause of diseases classified to other chapters	I Certain infectious and parasitic diseases (AB1_)	1.13831	0.247744	5.36313	4.33381E-06	259
rs562421266	1.2e+1	Post-traumatic stress disorder	V Mental and behavioural disorders (F5_)	1.72534	0.376318	5.34253	4.54433E-06	2282
rs7701723	1.1e+0	Sleep disorders (combined)	Neurological endpoints	-0.0351011	0.00766714	5.32866	4.69181E-06	44299
rs1284643	No data in gnomAD	Congenital malformations of spine and bony thorax	"XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)"	-4.01382	0.881768	5.27461	5.31361E-06	152
rs652275	8.8e-1	Other hearing loss	VIII Diseases of the ear and mastoid process (H8_)	0.0706985	0.0156729	5.19006	6.45565E-06	8833
rs1366004357	No NFEE in gnomAD	Nezelof syndrome	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	3.90336	0.86587	5.18421	6.5432E-06	125
rs572911456	No data in gnomAD	Cholera	I Certain infectious and parasitic diseases (AB1_)	2.51673	0.560554	5.14679	7.13198E-06	1290
rs7701723	1.1e+0	Sleep apnoea	VI Diseases of the nervous system (G6_)	-0.0364536	0.00812916	5.13577	7.31526E-06	38998
rs10477554	9.2e-1	"Body-mass index, inverse-rank normalized"	Quantitative endpoints	-0.0130795	0.00291735	5.13379	7.34869E-06	266130
rs141847507	4.9e-1	"Cleft lip, lip and palate or palate"	"XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)"	0.920495	0.205751	5.11444	7.68352E-06	444
rs607350	8.8e-1	Benign neoplasm of eye and adnexa	II Neoplasms from hospital discharges (CD2_)	0.142605	0.0318825	5.11243	7.71916E-06	2555
rs182236086	No data in gnomAD	"Hypothyroidism, strict autoimmune"	"IV Endocrine, nutritional and metabolic diseases (E4_)"	1.235	0.278309	5.04095	9.10018E-06	40926
rs1460809040	1.1e+0	Any dementia (more control exclusions)	Psychiatric endpoints from Katri R ikk nen	0.101518	0.0229189	5.02472	9.4467E-06	14367
rs34736739	No data in gnomAD	Glomerular disorders in diseases classified elsewhere	XIV Diseases of the genitourinary system (N14_)	2.38834	0.539231	5.0241	9.46019E-06	3374
rs1209580626	No NFEE in gnomAD	Disorders of orbit	VII Diseases of the eye and adnexa (H7_)	0.886272	0.200173	5.02083	9.53169E-06	1199
rs182270155	5.4e-1	Adenocarcinoma and papilloma adenocarcinoma of rectum	"II Neoplasms, from cancer register (ICD-O-3)"	1.13591	0.256744	5.01432	9.67565E-06	2333
rs3733725	8.8e-1	Maternal care for known or suspected fetal abnormality and damage	"XV Pregnancy, childbirth and the puerperium (O15_)"	0.138891	0.0313986	5.01265	9.71292E-06	4910
"rs33949346,rs796978220"	8.9e-1	Disorders of lipoprotein metabolism and other lipidaemias	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-0.038467	0.00873397	4.97417	1.06128E-05	37742
rs1396701425	No data in gnomAD	Nontoxic diffuse goitre	"IV Endocrine, nutritional and metabolic diseases (E4_)"	2.76896	0.628702	4.97408	0.000010615	838
rs1256942220	No data in gnomAD	Labour and delivery complicated by fetal stress [distress]	"XV Pregnancy, childbirth and the puerperium (O15_)"	1.45087	0.329551	4.97068	1.06984E-05	8324
rs26330	9.7e-1	Asthma (only as main-diagnosis) (more control exclusions)	X Diseases of the respiratory system (J10_)	0.0421632	0.00959933	4.95019	1.12153E-05	34343
rs76071718	1.1e+0	Statin medication	IX Diseases of the circulatory system (I9_)	-0.119386	0.0271827	4.94953	1.12323E-05	127169
rs75974368	4.1e-1	Anorexia	"XVIII Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R18_)"	0.858391	0.195875	4.9303	1.17409E-05	413
rs56102010	9.9e-1	"Other complications of labour and delivery, not elsewhere classified"	"XV Pregnancy, childbirth and the puerperium (O15_)"	0.1365	0.0311515	4.92926	0.000011769	3235
rs191564131	2.1e+0	Malignant neoplasm of stomach (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	-1.39114	0.317516	4.92825	1.17964E-05	1307
rs563200564	No data in gnomAD	Adenocarcinoma and papillary adenocarcinoma of stomach (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	2.83447	0.647389	4.92226	1.19602E-05	737
rs1462150023	No data in gnomAD	"Alcohol use disorder, ICD-based"	V Mental and behavioural disorders (F5_)	1.06587	0.243595	4.91685	1.21102E-05	15715
rs796230405	No data in gnomAD	Transient ischemic attack	IX Diseases of the circulatory system (I9_)	0.0653057	0.0149378	4.90937	1.23205E-05	18398
rs77988180	1.0e+0	Depression medications	Comorbidities of Neurological endpoints	-0.0789122	0.018077	4.89646	1.26923E-05	106785
rs896711562	No NFEE in gnomAD	Diseases of middle ear and mastoid	VIII Diseases of the ear and mastoid process (H8_)	-0.842215	0.193018	4.89261	1.28053E-05	24706
rs142488283	3.9e+0	Benign neoplasm: Liver	II Neoplasms from hospital discharges (CD2_)	1.17165	0.268672	4.88761	1.29536E-05	491
rs9885339	7.5e-1	Asthma-related acute respiratory infections	Asthma and related endpoints	-0.0747917	0.0171606	4.88254	1.31057E-05	16018
rs9885339	7.5e-1	Asthma-related infections	Asthma and related endpoints	-0.0641413	0.0147495	4.86346	1.36943E-05	21927
rs190768196	No data in gnomAD	Restrictive cardiomyopathy	IX Diseases of the circulatory system (I9_)	4.00816	0.923109	4.85024	1.41176E-05	96
rs1336256655	No data in gnomAD	Extreme obesity with alveolar hypoventilation	"IV Endocrine, nutritional and metabolic diseases (E4_)"	3.74491	0.862702	4.84804	1.41893E-05	1064
rs538169368	8.4e-1	Abscess of lung	X Diseases of the respiratory system (J10_)	1.84797	0.426027	4.84167	1.43989E-05	390
	No data in gnomAD	Maxillary prognathism	XI Diseases of the digestive system (K11_)	3.70572	0.854883	4.83591	1.45912E-05	105
rs1225675772	No data in gnomAD	Lagophthalmos	VII Diseases of the eye and adnexa (H7_)	3.73679	0.862147	4.83495	1.46235E-05	281
rs77556391	8.8e-1	Gingivitis and periodontal diseases	XI Diseases of the digestive system (K11_)	-0.154186	0.0355902	4.83098	1.47577E-05	87497
rs10155646	6.4e-1	Bronchitis	Asthma and related endpoints	-0.0528953	0.0122129	4.82868	1.48361E-05	55222
rs150936661	1.5e+0	Myeloid leukaemia	II Neoplasms from hospital discharges (CD2_)	0.727843	0.168208	4.82064	1.51133E-05	674
	No data in gnomAD	Multifocal fibrosclerosis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	5.0887	1.17689	4.81438	1.53327E-05	161
rs150936661	1.5e+0	Myeloid leukaemia (controls excluding all cancers)	II Neoplasms from hospital discharges (CD2_)	0.726518	0.168167	4.80721	0.000015588	674
rs613280	1.0e+0	Heart failure and bmi 25plus	Cardiometabolic endpoints	0.0617122	0.0142903	4.80379	1.57112E-05	16707
rs529525656	3.9e+0	Acute gastritis	XI Diseases of the digestive system (K11_)	1.09048	0.252694	4.7978	1.59294E-05	2370
rs148976443	7.3e+0	Obesity	"IV Endocrine, nutritional and metabolic diseases (E4_)"	0.115857	0.0268585	4.79425	1.60602E-05	21375
rs1279750138	No data in gnomAD	"Ischaemic heart disease, wide definition"	IX Diseases of the circulatory system (I9_)	1.25499	0.291008	4.79214	1.61384E-05	63744
rs3733724	8.4e-1	Spontaneous abortion	"XV Pregnancy, childbirth and the puerperium (O15_)"	-0.104068	0.0241381	4.78981	1.62252E-05	16906
rs10066891	3.3e-1	Recurrent dislocation of patella	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.573831	0.133176	4.78479	1.64138E-05	1645
rs11957113	1.2e+0	Drug-induced cataract	VII Diseases of the eye and adnexa (H7_)	-0.24979	0.0579754	4.78427	1.64335E-05	621
rs1426656984	No NFEE in gnomAD	Fetus and newborn affected by maternal complications of pregnancy	XVI Certain conditions originating in the perinatal period (P16_)	3.09367	0.718032	4.78427	1.64335E-05	123
rs9885352	8.6e-1	Other diseases of arteries and capillaries	IX Diseases of the circulatory system (I9_)	-0.353547	0.0820848	4.78143	1.65413E-05	2679
rs77556391	8.8e-1	Aphakia	VII Diseases of the eye and adnexa (H7_)	1.16985	0.271856	4.7738	1.68345E-05	471
rs1460809040	1.1e+0	Alzheimer disease	VI Diseases of the nervous system (G6_)	0.117204	0.0272751	4.76185	1.73041E-05	9301
rs1363673527	No data in gnomAD	"Otitis externa, unspecified"	VIII Diseases of the ear and mastoid process (H8_)	3.59711	0.837918	4.75365	0.000017634	2934
rs1460809040	1.1e+0	Dementia	V Mental and behavioural disorders (F5_)	0.0920015	0.0214336	4.75264	0.000017675	16499
rs1336256655	No data in gnomAD	Other infiltrative disorders of skin and subcutaneous tissue	XII Diseases of the skin and subcutaneous tissue (L12_)	5.28229	1.23068	4.75221	1.76925E-05	120
rs1256942220	No data in gnomAD	"Degenerative macular diseases, drug-induced"	VII Diseases of the eye and adnexa (H7_)	4.72278	1.10107	4.74648	1.79275E-05	84
rs77183427	2.6e-1	"Supernumerary teeth EXCLUDE clefts and syndromes , including avohilmo"	XI Diseases of the digestive system (K11_)	2.6186	0.610583	4.74538	0.000017973	220
rs1553530	8.5e-1	Non-seminoma of testis (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	0.493316	0.115138	4.73733	1.83092E-05	159
rs556602443	1.6e-1	Vitiligo	XII Diseases of the skin and subcutaneous tissue (L12_)	3.02239	0.706005	4.7303	0.000018608	260
rs182270155	5.4e-1	"Adenocarcinoma, papilloma adenocarcinoma and mucinous carcinomas of rectum (controls excluding all cancers)"	"II Neoplasms, from cancer register (ICD-O-3)"	1.10367	0.257833	4.72947	1.86436E-05	2437
rs1339775414	No data in gnomAD	Disorders of vestibular function (Vertigo)	VIII Diseases of the ear and mastoid process (H8_)	1.80424	0.421524	4.72893	1.86668E-05	14918
rs181755703	2.1e+0	Other and unspecified psoriasis	XII Diseases of the skin and subcutaneous tissue (L12_)	2.06532	0.482788	4.72431	1.88664E-05	1667
rs185361980	3.5e-1	Idiopathic urticaria	XII Diseases of the skin and subcutaneous tissue (L12_)	2.13991	0.501003	4.71136	1.94375E-05	518
rs6594968	1.0e+0	Chronic lower respiratory diseases	X Diseases of the respiratory system (J10_)	-0.0437464	0.0102808	4.68004	0.000020891	65991
rs149774971	No data in gnomAD	Disorders of phosphorus metabolism and phosphatases	"IV Endocrine, nutritional and metabolic diseases (E4_)"	3.68954	0.867281	4.67809	0.000020985	109
rs148885402	5.0e+1	Malignant neoplasm of bone and articular cartilage (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	1.70253	0.400302	4.67608	2.10824E-05	206
rs182947199	4.4e-1	Lower back pain or/and sciatica	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.377444	0.0887975	4.67124	2.13187E-05	41815
rs1398014978	No NFEE in gnomAD	"Cirrhosis, broad definition used in the article https://doi.org/10.1101/594523"	Gastrointestinal endpoints	1.14924	0.271042	4.65085	2.23434E-05	3970
rs190645983	No NFEE in gnomAD	Hidradenitis suppurativa	XII Diseases of the skin and subcutaneous tissue (L12_)	2.89566	0.683663	4.64198	2.28045E-05	931
rs188169091	8.2e-1	Postpartum haemorrhage	"XV Pregnancy, childbirth and the puerperium (O15_)"	0.208318	0.0492264	4.63491	2.31787E-05	8249
rs140233442	No data in gnomAD	Contracture of muscle	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	4.64541	1.09777	4.63459	2.31958E-05	97
rs79810893	1.4e+0	Benign neoplasm of ovary	II Neoplasms from hospital discharges (CD2_)	0.147491	0.0349039	4.62291	2.38281E-05	5308
rs140942175	No data in gnomAD	Varicose veins	IX Diseases of the circulatory system (I9_)	3.48747	0.826802	4.60827	2.46451E-05	29539
rs1370478917	No NFEE in gnomAD	Severe combined immunodeficiency [SCID] with reticular dysgenesis	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	2.50857	0.594736	4.60813	0.000024653	82
rs146692563	No data in gnomAD	"Suppurative otitis media, unspecified"	VIII Diseases of the ear and mastoid process (H8_)	2.58401	0.612897	4.60449	2.48605E-05	722
rs72810713	1.7e-1	Disorders of puberty	"IV Endocrine, nutritional and metabolic diseases (E4_)"	2.22264	0.527447	4.60043	0.000025094	412
"rs145200199,rs369991264"	1.3e-1	Osteonecrosis due to drugs	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	1.8979	0.450809	4.59281	2.55382E-05	264
rs1423381599	No FIN in gnomAD	"Major anomalies of jaw size , including avohilmo"	XI Diseases of the digestive system (K11_)	2.39852	0.570289	4.58475	2.60166E-05	719
rs76414586	9.6e-1	Atopic conjunctivitis	VII Diseases of the eye and adnexa (H7_)	-0.610904	0.145339	4.57998	2.63039E-05	1211
rs1438847388	No NFEE in gnomAD	Degeneration of the brain due to alcohol	VI Diseases of the nervous system (G6_)	1.89952	0.451987	4.57862	2.63864E-05	592
rs190216649	1.1e+0	Disorders of parathyroid gland	"IV Endocrine, nutritional and metabolic diseases (E4_)"	1.02651	0.244592	4.56751	2.70701E-05	6362
rs146074931	No data in gnomAD	Mandibular retrognathia	XI Diseases of the digestive system (K11_)	1.97918	0.471666	4.56623	0.00002715	1703
