rsids	fin_enrichment	phenotype	category	beta	sebeta	mlogp	pval	num_cases
rs4681515	8.9e-1	Cholelithiasis	XI Diseases of the digestive system (K11_)	-0.123637	0.00798785	53.312	4.87528E-54	37041
rs62272019	1.9e+0	Cholecystectomy	XI Diseases of the digestive system (K11_)	0.232111	0.0151137	52.5024	3.14485E-53	26778
rs1423231000	No NFEE in gnomAD	Cardiac arrest	IX Diseases of the circulatory system (I9_)	1.97033	0.367388	7.08719	8.18107E-08	2308
rs7611633	9.5e-1	Type 2 diabetes with other specified/multiple/unspecified complications	"IV Endocrine, nutritional and metabolic diseases (E4_)"	0.0402041	0.0075354	7.02067	9.5352E-08	46373
rs186207018	2.1e-1	Other functional intestinal disorders	XI Diseases of the digestive system (K11_)	0.347139	0.0668857	6.67726	2.10252E-07	16311
rs4681534	9.6e-1	"Type 2 diabetes, definitions combined"	Diabetes endpoints	0.035781	0.00703386	6.4391	3.63831E-07	57698
	No data in gnomAD	Fistulae involving female genital tract	XIV Diseases of the genitourinary system (N14_)	4.82938	0.955664	6.36255	4.3396E-07	424
rs577862208	1.6e+0	Keratoconus	VII Diseases of the eye and adnexa (H7_)	4.20568	0.838634	6.27526	5.30567E-07	625
rs13089831	8.7e-1	Other diseases of gallbladder	XI Diseases of the digestive system (K11_)	-0.214729	0.0430152	6.22342	5.97833E-07	1200
rs9880421	8.1e-1	"Hypothyroidism, strict autoimmune"	"IV Endocrine, nutritional and metabolic diseases (E4_)"	-0.0412808	0.00831981	6.15575	6.98634E-07	40926
rs75656822	8.7e-1	Other and unspecified tonsillitis	X Diseases of the respiratory system (J10_)	0.189067	0.0382515	6.11333	7.70318E-07	13190
rs7611633	9.5e-1	"Diabetes, insulin treatment (Kela reimbursement) (more control exclusions)"	Diabetes endpoints	0.0345416	0.00699112	6.10899	7.78054E-07	53892
rs59383374	2.4e+0	Chronic diseases of tonsils and adenoids	X Diseases of the respiratory system (J10_)	-0.154298	0.0312734	6.09348	8.06343E-07	43325
rs1299945821	No NFEE in gnomAD	"Adenocarcinoma, papilloma adenocarcinoma and mucinous carcinomas of rectum (controls excluding all cancers)"	"II Neoplasms, from cancer register (ICD-O-3)"	2.66686	0.54321	6.03936	9.13356E-07	2437
rs1299945821	No NFEE in gnomAD	Adenocarcinoma and papilloma adenocarcinoma of rectum	"II Neoplasms, from cancer register (ICD-O-3)"	2.57852	0.532681	5.88798	1.29426E-06	2333
rs139920489	2.1e+0	Spondylopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.971857	0.201924	5.8277	1.48696E-06	38276
rs1294450027	No data in gnomAD	Spondylolisthesis/Spondylolysis	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	3.11692	0.649541	5.79658	1.59742E-06	5766
rs1294450027	No data in gnomAD	Deforming dorsopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	2.78492	0.582069	5.766	1.71396E-06	9672
rs925991295	No data in gnomAD	Kela-code for behavioural disturbances in mental retardation	V Mental and behavioural disorders (F5_)	4.19013	0.878473	5.73418	1.84425E-06	225
rs544802422	4.7e+0	Other shoulder lesions	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.942862	0.198528	5.69003	2.0416E-06	2663
rs189581266	No data in gnomAD	Hypersensitivity pneumonitis due to organic dust	X Diseases of the respiratory system (J10_)	4.38121	0.922768	5.6871	2.05542E-06	446
rs13079438	No NFEE in gnomAD	Benign paroxysmal vertigo	VIII Diseases of the ear and mastoid process (H8_)	-2.39035	0.504765	5.66067	2.18439E-06	8280
rs9842794	8.8e-1	Chronic pancreatitis	XI Diseases of the digestive system (K11_)	0.115586	0.0246728	5.55242	2.80272E-06	3320
rs12635519	1.6e+1	Other diseases of stomach and duodenum	XI Diseases of the digestive system (K11_)	1.01122	0.215883	5.55104	2.81164E-06	1806
rs1443516550	No data in gnomAD	Falls/tendency to fall	"Miscellaneous, not yet classified endpoints"	0.664111	0.143282	5.44735	3.56985E-06	92857
rs140017604	1.0e+0	Labour and delivery complicated by fetal stress [distress]	"XV Pregnancy, childbirth and the puerperium (O15_)"	0.898032	0.193991	5.43534	3.66995E-06	8324
rs185759936	No data in gnomAD	Amoebiasis	I Certain infectious and parasitic diseases (AB1_)	4.08285	0.883038	5.42359	3.7706E-06	149
	No data in gnomAD	Type 2 diabetes with coma	"IV Endocrine, nutritional and metabolic diseases (E4_)"	3.45748	0.748189	5.41833	3.81654E-06	4709
rs1384284548	No NFEE in gnomAD	"Postprocedural endocrine and metabolic disorders, not elsewhere classified"	"IV Endocrine, nutritional and metabolic diseases (E4_)"	2.74771	0.597719	5.36793	4.28618E-06	3383
rs1491488120	No data in gnomAD	Benign neoplasm: Heart	II Neoplasms from hospital discharges (CD2_)	4.06432	0.884335	5.36565	4.30874E-06	81
rs549258207	1.8e-1	Cerebral palsy	VI Diseases of the nervous system (G6_)	2.63055	0.572545	5.36271	0.000004338	482
rs141018546	2.9e+0	Guttate psoriasis	XII Diseases of the skin and subcutaneous tissue (L12_)	0.769179	0.167464	5.35979	4.36727E-06	343
rs1299945821	No NFEE in gnomAD	Colorectal adenocarcinoma (controls excluding all cancers)	"II Neoplasms, from cancer register (ICD-O-3)"	2.09177	0.45823	5.30123	4.9977E-06	5378
