rsids	fin_enrichment	phenotype	category	beta	sebeta	mlogp	pval	num_cases
rs11780153	9.80E-01	"Height, inverse-rank normalized"	Quantitative endpoints	0.0103928	0.00187911	7.49622	3.19E-08	267937
rs575761596	3.40E+01	Episodal and paroxysmal disorders	VI Diseases of the nervous system (G6_)	-0.094575	0.0173552	7.2963	5.05E-08	89440
rs2740776	9.20E-01	Dorsopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	-0.0272305	0.00556607	6.00132	9.97E-07	106313
rs2631030	1.30E+00	"Pain (limb, back, neck, head abdominally)"	"Miscellaneous, not yet classified endpoints"	0.0258009	0.00531428	5.91948	1.20E-06	171922
rs7828122	9.10E-01	Dorsalgia	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	-0.0331951	0.0069176	5.79659	1.60E-06	59438
rs538528970	No data in gnomAD	"Other dorsopathies, not elsewhere classified"	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.0296732	0.00619214	5.78233	1.65E-06	79212
rs762446859	2.10E+00	Congenital malformations of genital organs	"XVII Congenital malformations, deformations and chromosomal abnormalities (Q17)"	1.41291	0.296291	5.73175	1.85E-06	2867
rs933893437	No data in gnomAD	Defects in the complement system	III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism (D3_)	5.654	1.20298	5.5847	2.60E-06	171
rs2740792	9.10E-01	Low back pain	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	-0.0433467	0.00930913	5.49235	3.22E-06	29329
	No data in gnomAD	Keratitis and keratoconjunctivitis in other diseases classified elsewhere	VII Diseases of the eye and adnexa (H7_)	6.01033	1.29564	5.45562	3.50E-06	967
rs2740795	1.30E+00	Spondylopathies	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	0.0395163	0.0085208	5.45293	3.52E-06	38276
rs7829199	9.70E-01	Other intervertebral disc disorders	XIII Diseases of the musculoskeletal system and connective tissue (M13_)	-0.0370083	0.00805746	5.3597	4.37E-06	37636
rs78824466	1.70E+00	Gestational [pregnancy-induced] oedema and proteinuria without hypertension	"XV Pregnancy, childbirth and the puerperium (O15_)"	0.19911	0.0433793	5.35334	4.43E-06	2616
rs187378274	1.80E-01	Cicatricial alopecia [scarring hair loss]	XII Diseases of the skin and subcutaneous tissue (L12_)	3.96024	0.864322	5.33653	4.61E-06	187
	No data in gnomAD	Alcohol withdrawal state with delirium 	V Mental and behavioural disorders (F5_)	3.42208	0.754879	5.23601	5.81E-06	2058
rs552714981	No data in gnomAD	Substance abuse (more control exclusions)	Psychiatric endpoints from Katri Räikkönen	1.16425	0.257906	5.19691	6.35E-06	23194
rs760954785	No data in gnomAD	"Dental pulpitis 1, only avohilmo"	XI Diseases of the digestive system (K11_)	-2.05248	0.456809	5.15366	7.02E-06	81713
